"aid","rater","sad_structure","ccc","r","cb","ccc_lower","ccc_upper","s.shift","l.shift"
"Unaided after-training","4","Linear",0.98467878599864,0.989677939731241,0.994948706511576,0.973832254318023,0.99104981608608,1.06794441554259,-0.0763618980565687
"SAD-aided","18","Linear",0.984468031221797,0.985510245579169,0.998942462179315,0.972661934609168,0.99119834759888,1.04586994780617,0.0102733907274211
"Unaided after-training","18","Linear",0.984118986703685,0.987169486632389,0.996909851884594,0.973055480040692,0.990661283121862,1.07890954834543,0.0206917318237455
"SAD-aided","37","Amended-linear",0.983914959961774,0.985879554678708,0.998007267005781,0.971986002271586,0.990788041980505,1.0577005268833,0.0290808945299902
"SAD-aided","29","Amended-linear",0.98213626319193,0.982574913494357,0.999553570627132,0.968008325930908,0.990056643467954,0.989965208141629,0.0281343163751688
"SAD-aided","17","Linear",0.981580883997177,0.983859929719407,0.997683566884486,0.967349052208203,0.989642032758448,1.03412761314235,-0.0593073804365271
"SAD-aided","28","Amended-linear",0.981300194747979,0.981436726417426,0.999860885917786,0.966556621828995,0.989578481747624,1.01649902883701,0.00323532915132444
"SAD-aided","30","Linear",0.97991194547689,0.980758384221355,0.999136954872797,0.964466070215226,0.988682493615902,1.04208951016832,-0.00525409498866317
"SAD-aided","26","Linear",0.979907377158703,0.983885649444664,0.995956570473199,0.965427704169431,0.988358550172798,1.07446993658205,-0.0543901488039719
"Unaided no-training","31","Amended-linear",0.979225855193721,0.982200266462523,0.996971685540756,0.96432170335241,0.987942206133136,1.07856765731678,-0.0187565717846125
"Unaided after-training","14","Linear",0.977799230463745,0.982919804363939,0.994790445896542,0.962528548769906,0.986888252963574,1.09585670499584,-0.0457044858266153
"SAD-aided","11","Amended-linear",0.977414652508561,0.978481476445024,0.998909714734366,0.959748066532817,0.987377310953159,1.0234667177523,-0.0405572464300876
"SAD-aided","31","Amended-linear",0.977237718413126,0.9828196096841,0.994320533273885,0.960731926803949,0.986852052297238,1.07239714095167,-0.0808474487704863
"SAD-aided","35","Amended-linear",0.977235924011478,0.978765290566597,0.998437453217989,0.959673680938477,0.987199711391873,1.0389497746225,-0.0408628709425728
"SAD-aided","25","Amended-linear",0.976527842385606,0.978801736156655,0.997676859687664,0.958196110724478,0.986874673321013,1.01929110894122,0.0655133275791694
"SAD-aided","4","Linear",0.975264262329074,0.975854255557702,0.999395408458519,0.956085308428295,0.986126558935084,1.0349837897386,-0.00523615123698663
"SAD-aided","20","Linear",0.975091897476271,0.976508939489971,0.998548869389317,0.956233551534448,0.985883086661268,1.05538429208902,0.000175127124934108
"Unaided after-training","41","Amended-linear",0.974994146267405,0.983303156188122,0.991549900080736,0.956222757308705,0.985775019053952,0.982280960898247,-0.129323615012578
"Unaided after-training","31","Amended-linear",0.974920062485488,0.984799586629853,0.989967985081945,0.957880330397116,0.985118677792291,1.09711662192181,-0.108030557550026
"SAD-aided","10","Amended-linear",0.974905622152852,0.977232207609996,0.997619209192016,0.955573403755275,0.98588614664002,1.03849507134361,0.0578446596694304
"SAD-aided","12","Linear",0.974884658100907,0.976024082172563,0.998832586108818,0.955676303174462,0.985829095067078,1.04777532911116,0.012615417629729
"Unaided after-training","28","Amended-linear",0.97451858471049,0.975458961196763,0.999035965095735,0.954932546490125,0.985655110219941,1.04352810068434,-0.0106895813402921
"SAD-aided","22","Linear",0.973972392905667,0.98117076734479,0.992663484605638,0.956221839427525,0.984582425011041,1.10474653101991,0.0696414678508478
"SAD-aided","6","Linear",0.97387670216069,0.975180803553966,0.998662708096259,0.953603054683013,0.985357955596344,1.03198374917989,0.0410719998527099
"SAD-aided","2","Linear",0.97339954534762,0.980326651554408,0.992933879543309,0.953089977676196,0.984983744882854,1.00573753248067,0.119164089364554
"Unaided after-training","37","Amended-linear",0.97306011086501,0.974385855458314,0.998639404927855,0.951994390449253,0.984953073625866,1.01755887056994,0.0492128430208107
